stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1349,1349,Sant Vicent Màrtir - Mossén Febrer,C SAN VICENTE MARTIR 306 - VALÈNCIA,39.4509734148101,-0.385065758036486,,,0,
135,135,Sants Just i Pastor - Humanista Furió,C SANTOS JUSTO Y PASTOR 81 - VALÈNCIA,39.4689682536445,-0.345229046178694,,,0,
1350,1350,Sant Vicent Màrtir - Almudaina,C SAN VICENTE MARTIR 267 - VALÈNCIA,39.4529865903496,-0.384458755400165,,,0,
1352,1352,la Plata - Alberola,AV PLATA  DE  LA 33 - VALÈNCIA,39.4542860267025,-0.369458910723519,,,0,
1353,1353,la Plata - Ausiàs March,AV PLATA  DE  LA 7 - VALÈNCIA,39.4531878399892,-0.372036458188795,,,0,
1354,1354,Poliesportiu Malilla,C BERNAT DESCOLL 14 - VALÈNCIA,39.4518484263395,-0.374465534827709,,,0,
1355,1355,Oltà - Ausiàs March,C OLTA 70 - VALÈNCIA,39.4531570874723,-0.373953731422845,,,0,
1356,1356,la Plata - Fonteta Sant Lluís,AV PLATA  DE  LA 7 (DAVANT) - VALÈNCIA,39.4528970755016,-0.371796393894455,,,0,
1357,1357,Parc central de Bombers,AV PLATA  DE  LA 33 (DAVANT) - VALÈNCIA,39.4541259870251,-0.368828586851422,,,0,
136,136,Sants Just i Pastor - Lleons,C SANTOS JUSTO Y PASTOR 59 - VALÈNCIA,39.4697516354249,-0.347997957996148,,,0,
1361,1361,La Carrasca,AV NARANJOS  LOS DAVANT CIÈNCIES SOCIALS. - VALÈNCIA,39.4799062553548,-0.344696094216765,,,0,
1362,1362,Tomàs de Montañana - Albereda,C PADRE TOMAS MONTAÑANA ROTONDA (PAR) - VALÈNCIA,39.4610557939198,-0.353339355014323,,,0,
1363,1363,Regne de València (imparell) - Alcalde Reig,AV REGNE DE VALENCIA 100 (DAVANT) - VALÈNCIA,39.4624277177496,-0.361179278171126,,,0,
1364,1364,Regne de València (parell) - Alcalde Reig,AV REGNE DE VALENCIA 102 - VALÈNCIA,39.4620569324604,-0.360861818052558,,,0,
1365,1365,Tomàs de Montañana - França,C PADRE TOMAS MONTAÑANA ROTONDA (IMPAR) - VALÈNCIA,39.4610675202834,-0.352851513197982,,,0,
1366,1366,La Llum,C ALQUERIA NOVA CORTES D'ARENÓS - VALÈNCIA,39.4684573741975,-0.417148661609603,,,0,
1369,1369,Tres Creus (central) - Pare Esteban Pernet,AV TRES CRUCES BARDISSA CENTRAL - VALÈNCIA,39.4673821192118,-0.406124958535859,,,0,
137,137,Amistat,C SANTOS JUSTO Y PASTOR 27 - VALÈNCIA,39.4703086423513,-0.349845082896736,,,0,
1370,1370,Pare Esteban Pernet - Misericòrdia,C PADRE ESTEBAN PERNET MISERICÒRDIA - VALÈNCIA,39.4672305875242,-0.409471463174629,,,0,
1374,1374,Punta al Mar (parell) - Riu,CAMI PUNTA AL MAR  DE LA 29 (DAVANT) - VALÈNCIA,39.4454954732559,-0.340442086512062,,,0,
1375,1375,Punta al Mar (parell) - Canal,CAMI PUNTA AL MAR  DE LA 57 (DAVANT) - VALÈNCIA,39.4452900020122,-0.338268205176475,,,0,
1376,1376,Camí del Canal (imparell) - Guitarrista Tàrrega,CAMI CANAL 40 - VALÈNCIA,39.4472629945628,-0.335361930432234,,,0,
138,138,Centre de Salut República Argentina,C SANTOS JUSTO Y PASTOR 9 - VALÈNCIA,39.471175994271,-0.352827172438123,,,0,
1380,1380,Punta al Mar (imparell) - Canal,CAMI PUNTA AL MAR  DE LA 57 - VALÈNCIA,39.4453390411894,-0.338255809999499,,,0,
1381,1381,Punta al Mar (imparell) - Riu,CAMI PUNTA AL MAR  DE LA 29 - VALÈNCIA,39.4455540330011,-0.340578428591909,,,0,
